epoch,train_total_loss,train_box_loss,train_obj_loss,train_cls_loss,train_positives,val_total_loss,val_box_loss,val_obj_loss,val_cls_loss,val_positives,val_mean_iou,val_cls_acc,val_recall,val_precision,val_map50,val_map50_95,lr,images_per_sec,epoch_time_sec,vram_allocated_gb,peak_vram_gb
1,13.9716,0.5533,5.0626,1.9019,247248,7.1924,0.4093,0.3525,0.727,48549,0.5866,60.38,2.6821,0.4838,1.2975,0.439,0.001,10.65,777.92,0.07,6.74
2,6.9832,0.3859,0.3004,0.6652,247248,6.8321,0.361,0.317,0.66,48549,0.6325,64.19,3.0701,0.5538,1.7001,0.7144,0.000999,11.82,700.86,0.07,6.74
3,6.5512,0.3374,0.2716,0.5464,247248,6.5957,0.3279,0.3098,0.6194,48549,0.665,67.34,3.3475,0.6038,2.0212,0.9308,0.000996,11.84,699.42,0.07,6.74
4,6.282,0.3078,0.2524,0.4901,247248,6.4202,0.3106,0.2956,0.5565,48549,0.6807,68.16,3.4307,0.6188,2.123,1.0419,0.000991,11.86,698.39,0.07,6.74
5,6.1111,0.2894,0.2408,0.4488,247248,6.215,0.2855,0.2756,0.5192,48549,0.7028,69.68,3.5665,0.6433,2.2944,1.196,0.000984,11.89,696.74,0.07,6.74
6,5.9436,0.272,0.2269,0.4161,247248,6.2141,0.2802,0.2783,0.5243,48549,0.7092,71.2,3.6752,0.6629,2.4364,1.3028,0.000976,11.94,693.36,0.07,6.74
7,5.8374,0.2611,0.2192,0.3955,247248,6.13,0.276,0.2662,0.5108,48549,0.7133,71.4,3.7109,0.6693,2.4838,1.3506,0.000965,11.79,702.36,0.07,6.74
8,5.7499,0.2519,0.212,0.3766,247248,6.047,0.2672,0.2651,0.4883,48549,0.7211,72.2,3.7568,0.6776,2.5457,1.4083,0.000953,11.76,704.12,0.07,6.74
9,5.6657,0.2437,0.2044,0.3602,247248,6.0626,0.2582,0.2618,0.5004,48549,0.7275,72.71,3.8015,0.6857,2.6067,1.4791,0.000939,11.26,735.61,0.07,6.74
10,5.5937,0.2359,0.1984,0.3474,247248,6.0155,0.262,0.2679,0.4959,48549,0.7256,72.05,3.754,0.6771,2.542,1.4495,0.000923,11.68,709.27,0.07,6.74
11,5.5376,0.2301,0.1951,0.3372,247248,5.9386,0.2505,0.2505,0.4936,48549,0.7362,72.6,3.8133,0.6878,2.6229,1.5413,0.000905,11.89,696.67,0.07,6.74
12,5.4833,0.2247,0.1898,0.3263,247248,5.8964,0.2421,0.2498,0.4898,48549,0.7434,73.31,3.8762,0.6992,2.7101,1.6291,0.000886,12.09,684.95,0.07,6.74
13,5.4293,0.2192,0.1864,0.3137,247248,5.839,0.2415,0.2503,0.476,48549,0.7447,73.67,3.8755,0.699,2.7092,1.6215,0.000866,12.15,681.66,0.07,6.74
14,5.378,0.2141,0.1824,0.3043,247248,5.856,0.242,0.248,0.4794,48549,0.7445,74.31,3.9157,0.7063,2.7657,1.6451,0.000844,12.12,683.5,0.07,6.74
15,5.3349,0.2098,0.179,0.2964,247248,5.8611,0.2395,0.2491,0.4945,48549,0.7455,72.48,3.8088,0.687,2.6167,1.586,0.000821,12.15,681.76,0.07,6.74
16,5.3055,0.2069,0.1763,0.2908,247248,5.8243,0.2369,0.2485,0.4795,48549,0.7481,74.78,3.9338,0.7096,2.7912,1.6869,0.000796,12.19,679.67,0.07,6.74
17,5.2538,0.2018,0.1728,0.2788,247248,5.8779,0.2387,0.2567,0.4932,48549,0.7473,72.1,3.8045,0.6862,2.6108,1.5956,0.00077,12.15,681.63,0.07,6.74
18,5.2146,0.1978,0.1699,0.2715,247248,5.8315,0.2355,0.247,0.4788,48549,0.7497,75.07,3.9533,0.7131,2.819,1.7141,0.000743,12.11,684.13,0.07,6.7
19,5.179,0.1947,0.1677,0.2625,247248,5.8129,0.2333,0.2514,0.4867,48549,0.7517,73.76,3.9033,0.7041,2.7481,1.6901,0.000716,11.95,692.96,0.07,6.74
20,5.1398,0.1907,0.1643,0.2537,247248,5.8772,0.2331,0.2506,0.5128,48549,0.7516,74.31,3.9331,0.7094,2.7902,1.7209,0.000687,11.95,692.89,0.07,6.74
